timestamp,open,high,low,close,volume
2024-12-14,2648.5000,2648.5000,2648.5000,2648.5000,0
2024-12-13,2680.8100,2692.9000,2646.1800,2648.4400,0
2024-12-12,2720.0900,2726.2300,2675.1900,2680.8000,0
2024-12-11,2696.0600,2721.2700,2675.8900,2720.0900,0
2024-12-10,2660.6400,2698.3900,2658.0200,2696.1100,0
2024-12-09,2640.1600,2676.4800,2627.6100,2660.6000,0
2024-12-08,2644.2800,2648.6000,2636.4700,2640.1400,0
2024-12-06,2633.8700,2645.7400,2613.0600,2633.1300,0
2024-12-05,2650.4500,2655.5900,2623.6000,2633.8600,0
2024-12-04,2642.8400,2657.1900,2632.5000,2650.4300,0
2024-12-03,2642.3200,2655.7000,2634.1800,2642.8500,0
2024-12-02,2645.9000,2651.7800,2621.9700,2642.3000,0
2024-12-01,2652.5000,2653.2700,2643.1800,2645.8300,0
2024-11-29,2638.8400,2666.3800,2634.1100,2650.5000,0
2024-11-28,2637.1500,2649.6900,2620.9900,2638.8300,0
2024-11-27,2632.3500,2658.2600,2627.1600,2637.1300,0
2024-11-26,2610.5700,2641.9600,2608.6600,2632.3600,0
2024-11-25,2719.9400,2720.2000,2605.3100,2610.4900,0
2024-11-24,2707.7100,2721.3700,2705.1000,2719.9200,0
2024-11-22,2669.2200,2715.7800,2668.9400,2715.6700,0
2024-11-21,2652.2500,2673.5600,2650.4800,2669.2400,0
2024-11-20,2635.1900,2655.4900,2618.9300,2652.2600,0
2024-11-19,2612.7700,2639.5000,2611.1300,2635.2100,0
2024-11-18,2571.4600,2615.0300,2569.9300,2612.7300,0
2024-11-17,2564.8600,2575.6300,2564.8500,2571.4900,0
2024-11-15,2566.9700,2576.1300,2554.5800,2563.1900,0
2024-11-14,2571.0000,2577.5400,2536.8900,2566.9500,0
2024-11-13,2599.0600,2618.9100,2569.4600,2570.9700,0
2024-11-12,2624.0800,2627.2100,2589.8000,2599.0300,0
2024-11-11,2685.6900,2686.2300,2610.6700,2624.0800,0
2024-11-10,2682.5900,2685.7200,2681.5200,2685.7200,0
2024-11-08,2706.9700,2710.4400,2680.4000,2684.7700,0
2024-11-07,2664.1100,2710.4000,2643.5100,2706.9800,0
2024-11-06,2745.7300,2749.7300,2652.5100,2664.1200,0
2024-11-05,2736.1500,2750.0100,2724.8100,2745.7400,0
2024-11-04,2738.4300,2748.2500,2731.8400,2736.0900,0
2024-11-03,2738.7100,2740.4100,2730.3200,2738.4200,0
2024-11-01,2746.7600,2762.3000,2733.2600,2736.7500,0
2024-10-31,2785.4900,2790.1200,2731.6500,2746.7500,0
2024-10-30,2775.1100,2790.0500,2770.9900,2785.4800,0
2024-10-29,2744.5100,2775.3800,2743.3500,2775.0900,0
2024-10-28,2735.9000,2746.0000,2724.7900,2744.5400,0
2024-10-27,2734.9200,2740.2900,2730.3400,2735.8700,0
2024-10-25,2733.9800,2748.0300,2717.1400,2747.3800,0
2024-10-24,2721.3400,2743.2900,2717.9100,2733.8900,0
2024-10-23,2746.6100,2758.5400,2708.8500,2721.3700,0
2024-10-22,2721.5400,2749.0700,2720.7200,2746.6200,0
2024-10-21,2723.5500,2740.6300,2714.2900,2721.5300,0
2024-10-20,2720.9200,2725.1100,2719.6700,2723.5600,0
2024-10-18,2693.8400,2722.6300,2692.8900,2721.8600,0
2024-10-17,2674.2100,2696.8100,2673.2800,2693.8200,0
2024-10-16,2660.5400,2685.4000,2658.8100,2674.2000,0
2024-10-15,2649.4700,2668.9700,2638.1600,2660.5500,0
2024-10-14,2648.1500,2666.8600,2643.2500,2649.4900,0
2024-10-13,2655.5700,2655.6400,2645.3400,2648.1400,0
2024-10-11,2633.2600,2661.4800,2632.0800,2656.9700,0
2024-10-10,2608.4800,2636.0200,2602.9000,2633.2500,0
2024-10-09,2622.0200,2624.4100,2605.2700,2608.4700,0
2024-10-08,2643.0500,2653.0200,2604.8300,2622.0100,0
2024-10-07,2650.3000,2659.6900,2637.8100,2643.0600,0
2024-10-06,2650.6300,2652.9000,2649.6700,2650.2400,0
2024-10-04,2655.8900,2670.2400,2632.1000,2653.6300,0
2024-10-03,2660.4200,2663.0200,2638.3500,2655.9100,0
2024-10-02,2660.4400,2663.4100,2641.2300,2660.3800,0
2024-10-01,2635.7500,2673.1600,2634.0000,2660.4300,0
2024-09-30,2663.6400,2666.1000,2624.8400,2635.7300,0
2024-09-29,2658.9200,2665.1400,2658.2200,2663.6500,0
2024-09-27,2672.7400,2674.3400,2643.1600,2658.1800,0
2024-09-26,2656.3900,2685.6400,2654.8900,2672.7200,0
2024-09-25,2658.2500,2670.5900,2649.8700,2656.3800,0
2024-09-24,2626.4300,2664.4200,2622.7000,2658.2700,0
2024-09-23,2620.3000,2634.8900,2613.9100,2626.4000,0
2024-09-22,2621.2600,2622.1700,2618.7800,2620.2900,0
2024-09-20,2587.2700,2625.8200,2584.9100,2622.2300,0
2024-09-19,2559.3700,2594.9400,2551.1400,2587.3000,0
2024-09-18,2574.1700,2600.2100,2546.9400,2559.3600,0
2024-09-17,2583.7500,2587.0100,2560.8100,2574.1800,0
2024-09-16,2579.2200,2589.6900,2575.4000,2583.7400,0
2024-09-15,2579.8100,2580.6800,2577.7300,2579.2300,0
2024-09-13,2558.5700,2586.1300,2556.9000,2579.0800,0
2024-09-12,2511.9800,2560.1500,2511.1200,2558.5900,0
2024-09-11,2518.7700,2529.0600,2501.1400,2511.9900,0
2024-09-10,2506.8500,2518.9200,2500.2600,2518.8000,0
2024-09-09,2496.9800,2507.7400,2485.6400,2506.8600,0
2024-09-08,2497.2500,2498.3500,2495.6100,2496.9600,0
2024-09-06,2517.3400,2529.2600,2485.1900,2497.5300,0
2024-09-05,2495.9500,2523.5800,2493.8900,2517.3200,0
2024-09-04,2493.3700,2500.3700,2471.9400,2495.9400,0
2024-09-03,2497.2900,2506.3200,2473.4300,2493.3800,0
2024-09-02,2503.1100,2507.3600,2490.1400,2497.3100,0
2024-09-01,2503.0500,2504.7700,2501.8700,2503.1300,0
2024-08-30,2519.6800,2526.9400,2494.2600,2503.1200,0
2024-08-29,2508.2100,2528.7100,2503.7100,2519.6700,0
2024-08-28,2525.3900,2525.8800,2493.7400,2508.2000,0
2024-08-27,2515.5800,2529.1200,2503.6300,2525.4000,0
2024-08-26,2516.0400,2527.0300,2508.7800,2515.5700,0
2024-08-25,2512.0300,2516.7100,2511.1900,2516.0300,0
2024-08-23,2487.6400,2518.3700,2486.6000,2512.5800,0
2024-08-22,2512.8300,2514.7200,2470.8800,2487.6600,0
2024-08-21,2513.0400,2519.9800,2493.9100,2512.8600,0
